match_id,batsman_runs
1,19
2,13
3,78
4,52
5,2
6,81
7,75
8,49
9,38
10,68
11,62
12,0
13,42
14,40
15,45
16,57
18,49
19,0
20,52
21,29
22,2
23,27
24,3
25,23
26,27
27,43
28,1
29,24
30,3
31,55
32,50
34,34
35,48
36,51
37,38
38,114
39,0
40,10
41,28
42,48
43,35
45,54
46,19
47,39
49,1
50,4
51,57
52,20
54,11
55,30
57,47
58,9
59,86
60,12
62,18
63,24
64,30
65,20
66,25
67,85
69,4
70,19
71,44
72,17
73,30
74,74
75,28
78,51
79,24
80,13
81,9
82,31
83,4
84,49
85,81
87,23
90,5
92,11
93,49
94,89
95,10
96,0
97,86
99,107
100,85
101,36
102,20
104,4
105,6
106,57
107,43
110,59
112,70
114,36
115,58
117,25
118,50
119,15
121,17
122,53
123,43
124,4
125,9
126,70
127,25
128,1
130,66
131,40
133,90
135,0
137,31
138,25
139,14
140,30
141,77
142,42
143,22
144,0
145,27
147,16
148,34
149,36
150,86
151,72
152,42
154,13
155,60
156,8
157,24
158,1
160,25
164,39
165,18
166,42
167,64
168,7
170,55
171,21
172,69
173,14
174,49
