batter,runs,avg,strike_rate
Inzamam-ul-Haq,11739,39.5,74.2
Mohammad Yousuf,9720,41.7,75.1
Babar Azam,9500,45.2,88.5
Shoaib Malik,8900,30.8,89.6
Saeed Anwar,8824,39.2,80.9
Shahid Afridi,8064,24.0,117.0
Javed Miandad,7381,41.7,67.0
Younis Khan,7250,44.7,65.2
Mohammad Rizwan,7200,44.8,86.9
Saleem Malik,7170,32.6,68.7
Mohammad Hafeez,6800,32.7,95.3
Fakhar Zaman,6100,38.6,92.3
Misbah-ul-Haq,5122,43.4,68.3
Imam-ul-Haq,4800,36.9,81.2
Shan Masood,4300,33.1,68.4
Sarfaraz Ahmed,4234,33.5,79.9
Wasim Akram,3717,16.6,89.9
Umar Akmal,3363,30.1,84.2
Ahmed Shehzad,3299,30.6,78.1
Kamran Akmal,3056,21.9,86.4
Iftikhar Ahmed,2900,27.8,122.4
Shadab Khan,2600,24.3,118.7
Zaheer Abbas,2572,47.6,84.8
Saud Shakeel,2100,42.5,71.6
Fawad Alam,2036,41.6,71.5
Abdullah Shafique,1800,39.4,74.8
Khushdil Shah,1700,21.4,128.9
Asif Ali,1500,19.6,145.2
Rayyan Siddiqui,1184,28.798717,136.762555
Usama Qureshi,1182,33.547109,60.653615
Sami Mirza,1174,25.181112,51.741536
Salman Siddiqui,1170,28.450804,87.1172
Faizan Raza,1164,13.072433,130.684408
Haris Mirza,1153,32.485873,67.084875
Bilal Farooq,1150,8.992389,60.000267
Bilal Iqbal,1146,31.75504,133.840707
Imran Chaudhry,1146,15.265373,59.739688
Usama Raza,1144,9.820918,114.406524
Usama Mirza,1140,17.719519,137.978076
Waqas Qureshi,1138,23.069861,134.872065
Zeeshan Malik,1137,6.583657,77.928499
Tahir Abbasi,1137,17.004844,113.725656
Danish Malik,1135,20.493176,84.659052
Sami Abbasi,1133,13.070836,132.400302
Faizan Malik,1132,18.256156,89.269286
Rameez Mirza,1125,17.602216,91.555074
Faizan Javed,1120,21.400002,120.798127
Junaid Awan,1117,14.998457,85.497069
Rehan Sheikh,1113,31.313392,113.243748
Waqas Farooq,1103,14.110595,74.791323
Arslan Javed,1097,34.889738,71.631731
Arslan Awan,1094,9.97765,109.451914
Zaman Raza,1081,12.460165,62.159463
Kamran Abbasi,1075,6.425179,77.601535
Sami Awan,1069,11.928118,124.429568
Adeel Awan,1054,14.938909,62.525223
Tahir Javed,1048,14.561179,115.986965
Arslan Iqbal,1038,31.0504,84.556874
Asad Awan,1029,18.813447,69.238568
Shahzaib Javed,1019,29.76054,82.070612
Asad Khan,1011,10.708554,51.118351
Talha Butt,996,8.964252,99.898227
Rayyan Butt,989,5.797976,98.46752
Usama Khan,966,24.82988,88.52092
Zaman Farooq,965,29.537752,53.741971
Zaman Awan,952,26.175804,101.349838
Talha Malik,952,29.749764,80.351865
Owais Abbasi,951,11.522981,93.42973
Arslan Khan,939,15.282897,99.474979
Adeel Qureshi,933,28.775452,59.162852
Salman Iqbal,930,21.695175,138.991848
Arslan Siddiqui,930,28.515487,52.2532
Asad Javed,930,15.470354,139.971185
Shahzaib Abbasi,923,7.192251,94.847342
Faizan Farooq,923,26.966528,50.608005
Waqas Siddiqui,922,25.88248,120.47983
Tahir Farooq,914,5.86423,121.34225
Salman Chaudhry,905,14.856335,106.717136
Salman Javed,904,28.300343,60.897192
Owais Butt,893,9.86891,112.681878
