Date,City,Temperature_C,Humidity_%,Rainfall_mm,WindSpeed_kmh
30/12/2024,Karachi,32.7,73.3,0.0,0.8
2024-05-08,Karachi,38.8,64.3,0.0,12.8
2024-12-26,Lahore,20.5,76.0,0.0,15.8
2024-11-29,Multan,22.5,56.4,0.0,16.6
2024-07-31,Islamabad,14.4,73.6,0.4,15.0
14/04/2024,Multan,38.4,61.9,0.0,19.8
14/11/2024,Peshawar,15.2,64.8,0.0,24.9
2024-04-10,Islamabad,31.1,58.5,0.0,5.0
2024-01-03,Islamabad,21.6,,0.0,17.3
2024-01-12,Karachi,30.5,94.1,0.0,11.1
2024-07-11,Karachi,29.0,58.9,0.0,17.7
02/12/2024,Multan,,45.4,0.0,12.5
2024-01-17,Lahore,27.8,32.5,0.0,15.5
13/10/2024,Peshawar,16.1,67.0,0.0,9.2
2024-10-03,Multan,19.5,50.4,0.0,12.3
21/03/2024,Karachi,38.5,50.9,0.0,9.4
13/08/2024,Lahore,22.1,,0.0,18.9
2024-03-01,Islamabad,33.7,67.4,0.0,15.1
2024-01-14,Multan,30.1,76.5,0.0,13.4
02/10/2024,Lahore,12.2,57.8,0.0,14.7
15/04/2024,Lahore,35.2,53.8,0.0,15.7
19/05/2024,Islamabad,28.0,95.6,0.0,7.3
2024-12-09,Karachi,23.7,49.4,0.0,5.6
27/04/2024,Islamabad,31.6,48.2,0.0,11.2
2024-08-22,Multan,21.1,71.3,0.0,13.2
2024-09-09,Karachi,19.2,67.4,0.0,17.4
2024-11-24,Islamabad,16.4,58.1,0.0,10.9
23/08/2024,Multan,23.4,57.4,0.0,17.1
04/12/2024,Lahore,22.4,59.5,0.0,0.8
25/08/2024,Lahore,,33.7,0.0,15.4
15/02/2024,Multan,32.1,66.9,0.0,13.6
11/05/2024,Lahore,33.3,60.9,0.0,9.8
15/11/2024,Multan,18.5,60.6,0.0,13.8
28/03/2024,Peshawar,32.7,36.0,0.0,8.4
2024-09-20,Karachi,21.5,45.8,0.0,16.3
15/07/2024,Multan,25.2,51.5,0.0,23.4
2024-03-03,Peshawar,30.6,65.7,0.0,14.5
23/12/2024,Peshawar,22.3,51.0,0.0,9.1
21/10/2024,Peshawar,11.5,64.7,0.0,18.6
2024-10-16,Karachi,16.1,47.8,0.0,10.3
2024-05-16,Karachi,33.3,66.1,0.0,4.0
01/02/2024,Multan,33.4,38.1,0.0,-9.8
2024-10-04,Peshawar,12.3,27.0,0.0,14.0
02/12/2024,Karachi,24.1,75.8,0.0,7.8
2024-02-09,Karachi,31.4,60.6,0.0,7.5
2024-04-15,Karachi,38.2,20.3,0.0,9.6
