Category,Amount_PKR
Food,
Food,923.0
Entertainment,717.0
,1289.0
Transport,270.0
Rent,16684.0
Food,1006.0
Shopping,
Food,967.0
Rent,13872.0
Utilities,2339.0
Transport,300.0
Rent,
Rent,20752.0
Rent,12303.0
Education,3065.0
Shopping,1651.0
Food,698.0
,854.0
Shopping,991.0
Education,2250.0
Food,652.0
Education,3195.0
Utilities,2522.0
Food,877.0
Education,2172.0
Utilities,
Entertainment,652.0
Utilities,1616.0
,375.0
Entertainment,603.0
,1516.0
Transport,272.0
Utilities,1850.0
Education,2496.0
Utilities,
Food,1187.0
Shopping,1747.0
Rent,
Entertainment,541.0
Transport,291.0
Utilities,2547.0
Food,1071.0
Food,920.0
Food,1066.0
Shopping,1385.0
,1991.0
Entertainment,648.0
,593.0
Entertainment,617.0
Food,756.0
Shopping,1303.0
Education,1103.0
Transport,373.0
Education,3195.0
Education,2386.0
Entertainment,723.0
Entertainment,447.0
Rent,13814.0
Food,947.0
Food,807.0
Entertainment,363.0
Entertainment,607.0
Education,1164.0
Shopping,1581.0
Rent,15489.0
Transport,191.0
Education,2072.0
Utilities,2422.0
Education,2415.0
Rent,13041.0
Education,2770.0
Utilities,2462.0
Education,2769.0
Transport,297.0
Shopping,1511.0
Shopping,1179.0
Entertainment,490.0
Food,838.0
,1025.0
Food,906.0
