ID,City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,method,Player_of_Match,Man_of_the_Match,Team1_Score,Team2_Score
1312025,Multan,2021-03-08,2021,26,Peshawar Zalmi,Karachi Kings,Multan Cricket Stadium,Peshawar Zalmi,field,Y,Karachi Kings,Runs,70.0,,Player 32,Akif Javed,147/5,143/8
1312052,Rawalpindi,2022-03-01,2022,19,Lahore Qalandars,Islamabad United,Rawalpindi Cricket Stadium,Lahore Qalandars,bat,N,Islamabad United,Runs,31.0,,Player 11,Azam Khan,172/6,144/8
1312149,Rawalpindi,2025-02-24,2025,14,Islamabad United,Karachi Kings,Rawalpindi Cricket Stadium,Islamabad United,field,N,Karachi Kings,Runs,22.0,,Player 10,Colin Munro,137/3,178/9
1312088,Lahore,2023-03-03,2023,21,Islamabad United,Lahore Qalandars,"Gaddafi Stadium, Lahore",Lahore Qalandars,bat,N,Islamabad United,Runs,23.0,,Player 24,Sikandar Raza,152/5,148/7
1312113,Karachi,2024-02-22,2024,12,Lahore Qalandars,Peshawar Zalmi,"National Stadium, Karachi",Peshawar Zalmi,bat,N,Lahore Qalandars,Runs,25.0,,Player 20,Mohammad Rizwan,137/3,190/5
1312119,Lahore,2024-02-28,2024,18,Karachi Kings,Quetta Gladiators,"Gaddafi Stadium, Lahore",Karachi Kings,bat,N,Quetta Gladiators,Runs,82.0,,Player 33,Babar Azam,211/2,137/10
1312001,Rawalpindi,2021-02-12,2021,2,Multan Sultans,Islamabad United,Pindi Cricket Stadium,Islamabad United,bat,N,Islamabad United,Runs,30.0,,Player 27,Zaman Khan,141/6,152/2
1312023,Lahore,2021-03-06,2021,24,Peshawar Zalmi,Multan Sultans,"Gaddafi Stadium, Lahore",Multan Sultans,bat,N,Multan Sultans,Wickets,3.0,,Player 6,Azam Khan,220/5,131/2
1312079,Rawalpindi,2023-02-22,2023,12,Islamabad United,Multan Sultans,Pindi Cricket Stadium,Multan Sultans,bat,N,Multan Sultans,Wickets,4.0,,Player 21,Tom Kohler-Cadmore,218/3,197/10
1312121,Karachi,2024-03-01,2024,20,Multan Sultans,Karachi Kings,"National Stadium, Karachi",Multan Sultans,field,N,Karachi Kings,Runs,89.0,,Player 18,Sherfane Rutherford,169/6,168/10
1312070,Rawalpindi,2023-02-13,2023,3,Peshawar Zalmi,Quetta Gladiators,Pindi Cricket Stadium,Peshawar Zalmi,bat,N,Peshawar Zalmi,Runs,52.0,,Player 22,Mohammad Nawaz,180/9,116/6
1312004,Rawalpindi,2021-02-15,2021,5,Quetta Gladiators,Karachi Kings,Rawalpindi Cricket Stadium,Quetta Gladiators,bat,N,Karachi Kings,Wickets,6.0,,Player 1,Usman Khan,124/7,201/5
1312040,Rawalpindi,2022-02-17,2022,7,Islamabad United,Peshawar Zalmi,Pindi Cricket Stadium,Peshawar Zalmi,field,N,Peshawar Zalmi,Wickets,6.0,D/L,Player 35,Fakhar Zaman,150/6,120/8
1312076,Lahore,2023-02-19,2023,9,Multan Sultans,Peshawar Zalmi,"Gaddafi Stadium, Lahore",Multan Sultans,field,N,Peshawar Zalmi,Wickets,3.0,D/L,Player 15,Aamer Jamal,199/2,120/8
1312103,Rawalpindi,2024-02-12,2024,2,Quetta Gladiators,Karachi Kings,Rawalpindi Cricket Stadium,Karachi Kings,bat,Y,Karachi Kings,Wickets,,,Player 5,Haris Rauf,124/3,130/5
1312050,Multan,2022-02-27,2022,17,Karachi Kings,Lahore Qalandars,Multan Cricket Stadium,Lahore Qalandars,field,N,Karachi Kings,Wickets,4.0,,Player 1,Iftikhar Ahmed,178/6,147/9
1312162,Multan,2025-03-09,2025,27,Islamabad United,Lahore Qalandars,Multan Cricket Stadium,Islamabad United,field,N,Lahore Qalandars,Wickets,4.0,,Player 3,David Willey,219/2,112/10
1312168,Multan,2025-03-16,2025,Eliminator,Multan Sultans,Islamabad United,Multan Cricket Stadium,Islamabad United,field,Y,Islamabad United,Wickets,1.0,,Player 19,Babar Azam,130/3,128/6
1312017,Karachi,2021-02-28,2021,18,Quetta Gladiators,Islamabad United,"National Stadium, Karachi",Islamabad United,bat,N,Islamabad United,Wickets,7.0,,Player 30,Naseem Shah,165/8,160/6
1312165,Lahore,2025-03-12,2025,30,Quetta Gladiators,Peshawar Zalmi,"Gaddafi Stadium, Lahore",Quetta Gladiators,field,N,Quetta Gladiators,Wickets,7.0,,Player 5,Abbas Afridi,156/3,190/8
1312152,Karachi,2025-02-27,2025,17,Quetta Gladiators,Lahore Qalandars,"National Stadium, Karachi",Lahore Qalandars,field,N,Quetta Gladiators,Runs,34.0,,Player 18,David Willey,144/10,149/9
1312003,Rawalpindi,2021-02-14,2021,4,Multan Sultans,Islamabad United,Rawalpindi Cricket Stadium,Multan Sultans,field,N,Islamabad United,Wickets,8.0,,Player 31,Colin Munro,153/10,155/3
1312065,Rawalpindi,2022-03-18,2022,Qualifier 2,Islamabad United,Peshawar Zalmi,Pindi Cricket Stadium,Peshawar Zalmi,bat,N,Peshawar Zalmi,Runs,60.0,,Player 29,Babar Azam,213/10,156/10
